job_skills,full_name
"customer service , cash register operation , merchandising , planogram implementation maintenance , store opening closing , supervisory experience , interpersonal oral communication , safety policies practices , mathematical calculations , cash handling procedures , driving , walking standing , bending stooping , lifting",Andrea Clark
"customer service , food safety , internal communication , inventory management , leadership , maintenance , quality control , scheduling , training , team management , safety , security",Ryan Patton
"leadership , planning , monitoring , safety , security , profitability , communication , inventory management , maintenance , cleanliness , scheduling , training , food safety , customer service , team management , quality food production",Brandi Reed
"customer service , cash register operation , inventory management , cleaning , planogram implementation , supervisory experience , interpersonal communication , oral communication , safety policies , cash handling , retail math , high school diploma",Philip Rodriguez
"customer service , cashier operations , stock management , merchandise display , store cleaning , planogram implementation , store opening closing , interpersonal communication , oral communication , safety policies practices , planogram reading , mathematical calculations , cash register functions , cash handling , deposit control , bank deposits , high school diploma , supervisory experience , physical demands , lifting , climbing , fastpaced environment , noise level , weather conditions , driving transportation",Alicia Howard
"tax preparation , customer service , sales , marketing , teamwork , collaboration , irs requirements , state requirements , high school diploma , continuing education , fastpaced environment , health wellbeing benefits , k retirement plan , employee stock purchase plan , flexible work options , remote work opportunities",Shannon Yu
"customer service , sales , communication , teamwork , problemsolving , retail experience , cashiering experience , high school diploma , motivation advance , willingness learn , ability stand , ability lift carry , ability push pull , ability bend twist , ability grasp manipulate objects , eyehand coordination , ability climb ladder",Melissa Mcdonald
"customer service , front end operations , supervision , scheduling , auditing , communication , mathematics , federal state child labor laws , retail store policy",Richard Joyce
"customer service , communication , operation cash registers scanners , stocking recovering merchandise , cleaning maintenance , planogram implementation , mathematical calculations , knowledge cash handling , safety security measures , high school degree , supervisory experience , physical ability , fastpaced environment , exposure weather conditions , driving transportation",Daniel Wilson
"tax interviews , preparing tax returns , business growth , client retention , customer service , retail , sales , marketing , teamwork , collaboration , h r block income tax course , irs state requirements , high school diploma , communication skills , virtual communication , fastpaced environment , supportive environment , medical coverage , mental health support , k retirement savings plan , employee stock purchase plan , flexible work schedule , remote work , diversity",Zachary Harris
"customer service , cash register operation , stock management , store cleaning , planogram implementation maintenance , store management , communication skills , safety procedures , mathematical calculations , cash handling , supervisory experience , walking standing , bending stooping , lifting pushing , climbing , fastpaced environment , outside weather exposure , driving transportation",Nathan Lopez
"customer service , cash register operation , stocking recovering merchandise , cleaning maintenance , planogram implementation maintenance , supervisory experience , high school diploma equivalent , mathematical calculations , safety policies practices , interpersonal oral communication , cash handling procedures , driving vehicle , frequent walking standing , bending stooping kneeling , handling merchandise equipment , lifting pounds , climbing six feet , fastpaced environment , occasional exposure weather conditions , occasional regular driving",Crystal Warren
"client service , retail , time management , tax accounting , personal income tax , irs compliance , numeracy , sales , marketing , teamwork , collaborative , tax preparation , data entry , crm , high school diploma",Maria Reynolds
"tax preparation , tax interviews , sales , marketing , customer service , communication , teamwork , collaboration , irs requirements , high school diploma equivalent , previous experience retail customer service , experience fastpaced environments , hours week availability peak tax season , k retirement savings plan , employee stock purchase plan , flexible remote opportunities , health coverage mental health support coaching , tax preparation benefit",Ashley Bryant
"customer service , cash register operation , inventory management , merchandising , store cleaning , planogram implementation maintenance , store management , interpersonal communication , safety policies practices , mathematical calculations , cash handling , driving , high school diploma , supervisory experience , physical fitness , fastpaced environment , transportation",Nicholas Hughes
"tax preparation , sales , marketing , customer service , teamwork , collaboration , time management , communication , client relations , microsoft office suite , h r block income tax course , high school diploma , fastpaced environment , flexible work schedule , remote work opportunities , disability , religion , sexual orientation , gender identity , veteran status",Michael Dickerson
"customer support , order processing , order fulfillment , communication skills , positive attitude , team player , microsoft excel , written communication skills , verbal communication skills , organizational skills , microsoft teams , skype business , erp systems oracle sap , supply chain management , product distribution , billing systems , consumer products , food service , time management , attention detail , initiative , independent work , business judgment , organizational skills , prioritization , multitasking , problem solving , decision making",Jessica Thomas
"communication skills , h r block income tax course , continuing education , high school diploma , customer service , sales experience , marketing experience , fastpaced environment , teamwork , collaboration , medical coverage , k retirement savings plan , employee stock purchase plan , tax preparation benefit , flexible work options , remote work opportunities",Alan Strickland
"restaurant management , retail management , customer service , performance management , training",Nicole Silva
"leadership , communication , inventory management , scheduling , training , food safety , customer service , safety , hygiene",Craig Peterson
"tax preparation , sales , marketing , customer service , teamwork , communication , irs regulations , tax laws , tax codes , accounting principles , financial planning , estate planning , retirement planning , payroll administration , audit representation , tax consulting , data entry , microsoft office suite , quickbooks , h r block tax software , high school diploma equivalent , hours continuing education requirement , successful completion h r block income tax course , ability effectively communicate person virtually , previous experience customer service retail environment , sales marketing experience , experience working fastpaced supportive environment , availability work minimum hours week peak tax season",Jason Ray
"tax preparation , client interviewing , sales marketing , customer service , communication , teamwork , collaboration , tax expertise , irs state requirements , high school diploma equivalent , experience fastpaced environment , ability work least hours week peak tax season , k retirement savings plan , employee stock purchase plan , tax prep benefit , remote work opportunities",Sheila Payne
"facetoface communication , tax return preparation , business growth , client retention , teamwork , collaboration , irs requirements , high school diploma , customer service , retail experience , sales experience , marketing experience , fastpaced environment , hours per week peak season , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities",Tammy Thomas
"customer service , communication skills , cash register operation , merchandising , inventory management , cleaning , planogram implementation , store management , safety procedures , mathematical calculations , cash handling , high school diploma , supervisory experience , physical ability , team work , problem solving , attention detail , time management , flexibility , adaptability , computer literacy , microsoft office suite",Christian Padilla
"pos system , customer service , food preparation , coffee making , sandwich making , menu knowledge , food quality control , communication skills , physical dexterity , math skills , written skills , verbal skills , enthusiasm , teamwork , franchise ownership , independent business ownership , wage benefit programs",Alison Hayes
"team management , customer service , food safety , food preparation , leadership , communication , problemsolving , coaching , training , assessment , retail , hospitality",Danielle Campbell
"leadership , crew scheduling , food safety , cleanliness , inventory , profitability , training , education , customer service , anticipation , communication , decision making , results orientation",Brooke Davis
"customer service , sales , communication , teamwork , problem solving , retail experience , cashiering experience , high school diploma , ability stand walk long periods , ability lift carry pounds , ability push pull arms pounds , ability bend waist twisting , ability grasp reach manipulate objects hands , ability climb ladder",Carolyn Gonzalez
"customer service , scheduling , communication , ccc one , arms , high school diploma ged , administrative assistant experience , auto body experience , multitasking , attention detail , office equipment , computer skills , oral written communication , sales drive , valid driver license",Anthony Ramirez
"food preparation , customer service , cost control , cash handling , food handling , basic math , computer skills , english language , management principles , assigning duties , onthejob training , inspecting supplies , collecting payment , investigating complaints , resolving complaints , directing food preparation , providing customer service , resolving work problems , supervising food assembly , answering customer questions , compiling cash receipts , following instructions , performing opening closing procedures , performing administrative duties , performing banking procedures , demonstrating professionalism , arriving promptly work , ensuring safety policies followed , disciplining crew members , receiving storing supplies , performing crew member functions , using professional communication techniques , using food handling rules , understanding food service regulations , leaving store hands crew member driver",Randy Terrell
"communication , tax preparation , tax expertise , customer service , sales , marketing , fastpaced environment , continuing education , irs state requirements , high school diploma , h r block income tax course , k , employee stock purchase plan , medical coverage , mental health support , coaching , tax prep benefit , flexible remote opportunities , collaborative teams , diversity , equal opportunity employer",Justin Garcia DVM
"customer service , communication , interpersonal skills , problemsolving , decisionmaking , data entry , microsoft office suite , crm systems , high school diploma , aa ba degree , administrative experience , patience , empathy , teamwork , stress management , customercentric mindset , fastpaced environment , attention detail",Monica Scott
"customer service , communication skills , interpersonal skills , computer skills , positive attitude , energetic attitude , excellent customer service skills , high school diploma , bilingual , rma processing , rma status checking , phone support , email support , customer interaction tracking , problem resolution , customer call monitoring , customer satisfaction optimization , senior staff coordination , customer requirement escalation , problem analysis , problem solving , rapid issue identification , precise issue identification , warranty inquiries , terms sale inquiries , order process change communication , stock order eta estimated time arrival , delayed order eta , daily test result research , daily test result creation , daily test result completion , parts returned notices , repair status reports , customer satisfaction",Christie Keith
"customer service , retail , sales , marketing , tax preparation , irs requirements , h r block income tax course , high school diploma , communication , teamwork , collaboration",Cynthia Baxter
"tax preparation , client service , retail , sales , marketing , teamwork , communication , problemsolving , computer skills , high school diploma",Amber Rodriguez
"communication verbal , tax preparation , sales , marketing , customer service , retail , h r block income tax course , irs requirements , state tax requirements , high school diploma",Derrick Boyle
"customer service , food safety , internal communication , inventory management , daily maintenance cleanliness , crew management , quality food production , safety security , scheduling , training , leadership , teamwork , flexibility , problemsolving , communication , time management , attention detail , work ethic , ability work fastpaced environment",Mary Farrell
"customer service , cashier operations , merchandising , stock management , store maintenance , planogram implementation , retail operations , cash handling , safety procedures , mathematical calculations , interpersonal communication , oral communication , high school diploma , supervisory experience , ability drive , ability lift heavy objects , ability climb ladders , ability work fastpaced environment , ability work noisy environment , ability work outdoor weather conditions",Arthur Mills
"customer service , communication , cash handling , safety , planogram , sales , retail , mathematical calculations , cash register , high school diploma , supervisory experience , physical strength , driving , fastpaced environment",Tyler Stuart
"food safety , internal communication , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety , security , training , leadership , team player , flexible schedule , passion , fast paced environment , high school degree , college tuition assistance , english second language , medical coverage , dental coverage , vision coverage , paid vacation , paid comp time , work experience , hospitality environment",Kristina Jones
"h r block income tax course , tax preparation , tax expertise , communication , teamwork , collaboration , customer service , sales , marketing , fastpaced work environment , irs requirements , high school diploma , retail experience , peak tax season availability , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities , best companies lists , diversity , equal opportunity employer",Ricardo Delgado
"customer service , cash register , scanner , merchandising , stocking , cleaning , planogram , leadership , communication , safety , calculations , cash handling , depositing , education , experience , physical ability , lifting , climbing , driving , transportation",Katherine Jacobs DVM
"tax interviews , tax returns , business growth , client retention , teamwork , collaboration , tax expertise , communication , customer service , retail experience , sales , marketing , fastpaced environment , flexible work , remote work , medical coverage , k retirement savings plan , employee stock purchase plan , tax preparation benefit , diversity , equal opportunity employer",Jesse Oconnor
"communication , customer service , sales , marketing , teamwork , collaboration , h r block income tax course , irs state requirements , high school diploma , fastpaced environment , hours peak tax season , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities",Leslie Guerra
"customer service , retail , cashiering , communication , teamwork , problem solving , attention detail , standing , lifting , carrying , pushing , pulling , bending , grasping , reaching , manipulating , eyehand coordination , climbing",Laura Stevens
"customer service , production coordination , order entry , planning , direct mail , commercial print production , sales , microsoft office suite excel outlook word , printing , production management , assembly , warehousing , fulfillment , data management , shipping , packaging , invoicing , label approvals , account documentation , data maintenance , color vision , usps requirements , project management , problem solving , analytical skills , organizational skills",Alexander Landry
"leadership , team management , customer service , communication , decisionmaking , food safety , cleanliness , inventory , profitability , training , education",Sarah Keller
"customer service , retail , cashiering , sales , communication , teamwork , problem solving , leadership , high school diploma , physical strength , flexibility , willingness learn",Hannah Graham
"customer service , insurance sales , health insurance , supplemental insurance , dental insurance , vision insurance , software applications , sales , training , licensing , benefits , medical , dental , std , ltd , life insurance , k , paid time",Jennifer Jones
"communication , customer service , fast paced environment , teamwork , tax expertise , high school diploma , irs requirements , sales , marketing , microsoft office suite",Timothy Dixon
"customer service , data entry , effective communication , multitasking , team collaboration , troubleshooting , conflict resolution , technical support , proficient computer skills , high school diploma equivalent , health insurance , dental insurance , vision insurance , k , paid time , holidays , internal growth opportunities , work home office , onsite gym , stocked kitchen , teambuilding activities",Justin Clark
"customer service , communication skills , problem solving , diplomacy , computer proficiency , fitness health passion , positive attitude , punctuality , strong listening skills , empathy , physical endurance , lifting ability , attention detail , multitasking , time management , teamwork , front desk operations , member signup , member account updates , new member tours , answering phones , assisting callers , problem resolution , member satisfaction , cleanliness organization , uplifting environment",Brooke Garcia
"customer service , cash register operation , stocking recovering merchandise , store cleaning , planogram implementation maintenance , store opening closing , supervisory experience , interpersonal communication , oral communication , safety policies practices , planogram reading following , mathematical calculations , cash handling procedures , cashier accountability , high school diploma equivalent , physical strength , lifting heavy objects , climbing six feet , fastpaced environment , noise level tolerance , outdoor weather conditions tolerance , driving transportation",Spencer Herrera
"tax preparation , tax filing , business development , customer service , sales , marketing , teamwork , collaboration , high school diploma equivalent , continuing education requirement , irs state requirements , flexibility , remote work",Justin Harper
"customer service , sales , cash register operation , stocking , cleaning , planogram implementation maintenance , safety policies practices , mathematical calculations , cash handling procedures , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , driving , communication , reading , following",Robin Caldwell
"bilingual english spanish , high school diploma ged , microsoft outlook , microsoft word , microsoft excel , wpm typing speed , customer service experience , contact center experience , phone handling skills , analytical skills , active listening skills , diligent followup skills , communication skills verbal written , business etiquette , telephone etiquette , punctuality , dependability , motivation , selfdirection",Susan Ruiz
"food safety , internal communication , inventory management , daily maintenance cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership experience , restaurant retail hospitality experience , flexible schedule , passion fastpaced environment , years old",Jesse Skinner
"communication skills , teamwork , sales skills , marketing skills , customer service , tax preparation experience , h r block income tax course , continuing education , high school diploma , retail environment experience , fastpaced environment experience , peak tax season availability , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities , collaborative teams , diversity inclusion , equal opportunity employer",Amy Williams
"customer service , food safety , inventory management , leadership , internal communication , scheduling , training , quality food production , safety security , daily maintenance cleanliness , managing crew , english second language , restaurant experience , flexible schedule , high school degree , college tuition assistance , medical dental vision coverage , pretax flexible spending accounts , short longterm disability , life accident insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",Pamela Scott
"tax interviews , tax returns , business growth , client retention , teamwork , communication , h r block income tax course , continuing education , high school diploma , customer service , sales , marketing , fastpaced environment , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work opportunities , remote work , connected culture , diversity inclusion",Frank Norman
"customer service , cash register operation , merchandise stocking , store cleaning , planogram implementation , store management , oral communication , safety procedures , planogram reading , mathematical calculations , cash control , driving , high school diploma , supervisory experience , physical labor , lifting , climbing , fastpaced environment , noise tolerance , outdoor exposure , driving",Mr. Matthew Richards DDS
"customer service , cash register operation , merchandising , cleaning maintenance , planogram implementation , communication skills , safety awareness , mathematical skills , knowledge cash handling procedures , supervisory experience , high school diploma equivalent",Edward Fox
"food safety , communication , inventory management , maintenance cleanliness , crew management , customer service , safety security , scheduling , training , leadership , team player , flexibility , passion",Kenneth Rangel
"customer service , cash handling , stocking , cleaning , planograms , communication , safety , mathematical calculations , cash register functions , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise level , driving , transportation",Marcus Boyd
"customer service , cash register operation , merchandising , maintenance , communication , safety , planogram reading , mathematical calculations , cash handling , driving , supervisory experience , high school diploma , frequent walking standing , frequent bending lifting , frequent handling merchandise equipment , occasional climbing , fastpaced environment",Ashley Harris
"leadership , communication , inventory management , cleanliness , crew management , food production , customer service , safety security , scheduling , training , food safety , internal communication , high school diploma , college tuition assistance , english second language , medical dental vision coverage , shortterm longterm disability , life accident insurance , paid leaves absence , service awards",Christina Ballard
"restaurant management , coaching , team leadership , guest service , time management , attention detail , alcoholic beverage serving , years restaurant bar experience , shift scheduling , food beverage preparation , hygiene safety regulations",Christopher Young
"tax interviews , tax return preparation , sales marketing , customer service , teamwork , collaboration , communication , income tax course , continuing education , high school diploma , irs requirements , state requirements , fastpaced environment , microsoft office suite , time management , prioritization , attention detail , accuracy , problemsolving , perk",Dr. Katherine Adams
"customer service , communication , teamwork , problem solving , retail experience , sales associate experience , high school diploma , ability stand walk extended periods , ability lift carry weight , ability push pull arms , ability bend twist waist , ability grasp manipulate objects , eyehand coordination , medical vision dental life insurance , flexible schedules , weekly pay , fulltime parttime , k competitive company match , flexible spending health savings accounts , tuition reimbursement",Angela Soto
"cash register , customer service , math , oral communication , safety , stocking , planograms , retail , sales associate , high school diploma , supervisory experience , physical labor , lifting , driving , cleaning , merchandising",Heather Stevenson
"food safety , internal communication , inventory management , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership experience , restaurant experience , retail experience , hospitality experience , flexible schedule , fastpaced work environment",Jean Day
"customer service , complaint handling , product knowledge , problemsolving , communication , microsoft excel , google docs , zendesk , shiprush , shipstation , shopify , spreadsheet",Laura Weaver
"food safety , internal communication , inventory management , daily maintenance cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership , restaurant retail hospitality experience , passion fast paced environment , years age older",Michael Fletcher
"tax preparation , communication , sales , marketing , customer service , teamwork , high school diploma , irs requirements , tax interviews , continuing education , h r block income tax course",Sara Gonzalez
"customer service , cashier operation , merchandising , planogram implementation , store cleaning , cash handling procedures , mathematical calculations , safety policies practices , interpersonal communication , oral communication , high school diploma , supervisory experience , walking standing , bending stooping kneeling , merchandise handling , lifting pounds , climbing six feet , fastpaced environment , occasional exposure weather , driving providing transportation",Wendy Stone
"customer service , communication skills , active listening , problemsolving , flexibility , teamwork , event coordination , event management , feedback collection , customercentric attitude",Lynn Fisher
"customer service , leadership , communication , decisionmaking , time management , problemsolving , safety security , food safety cleanliness , training education , teamwork",Pamela Stafford
"team management , communication , customer service , cash handling , conflict resolution , food safety , hygiene , food preparation , leadership , coaching , training , high school diploma , work experience , management experience",Wanda Thomas
"customer service , cash register operation , merchandising , cleaning , implementation planograms , interpersonal skills , communication skills , safety practices , math calculations , cash handling , driving , high school diploma , supervisory experience",Scott Morris
"customer service , cash register operation , merchandising , cleaning , planogram implementation , communication skills , safety knowledge , mathematical skills , cash handling , banking , high school diploma , supervisory experience , physical labor , lifting , climbing , fastpaced environment , occasional exposure outside weather conditions , driving",Jonathan Dyer
"tax preparation , customer service , sales , communication , teamwork , high school diploma , continuing education , irs requirements , fastpaced environment , health wellness benefits , retirement savings plan , employee stock purchase plan , flexible work options",Sarah Torres
"facetoface communication , tax preparation , business growth , teamwork , tax expertise , h r block income tax course , continuing education , high school diploma , customer service , sales experience , fastpaced environment , medical coverage , k retirement savings plan , stock purchase plan , tax prep benefit , flexible remote opportunities",Felicia Hall
"shift management , leadership , customer service , performance management , training , restaurant management , retail management , arby fast crafted restaurant services",Mary Marks
"customer service , sales , stocking , cleaning , planogram maintenance , cash register operation , mathematical calculations , cash handling , written communication , interpersonal communication , safety , high school diploma , supervisory experience , warehouse operations , physical labour , lifting , climbing , driving",Paula Underwood
"restaurant management , customer service , team leadership , performance management , training development , food service",Lisa James
"customer service , communication , problemsolving , scheduling , route point software , billing , data entry , marketing , followup calls , filing , telephone etiquette , conflict resolution , payment collection , computers , entrylevel skills , high school diploma ged , background drug screening",Jennifer Poole
"retail , customer service , sales , cashiering , communication , teamwork , problemsolving , high school diploma , physical stamina , ability stand walk hours , ability lift carry pounds , ability push pull arms pounds , ability bend waist twist , ability grasp manipulate objects hands , ability climb ladder",Shawn Wilkins
"customer service , sales , retail , wholesaler , inventory management , forklift operation , microsoft office , communication , interpersonal skills , attention detail , accuracy",Ricky Jimenez
"leadership , food safety , internal communication , inventory management , daily maintenance , cleanliness , crew management , quality food production , exceptional customer service , safety , security , scheduling , training , restaurant experience , retail experience , hospitality experience , positive attitude , flexible schedule , passion fastpaced work environment , age older",Amber Garrett
"customer service , sales , marketing , teamwork , collaboration , communication , h r block income tax course , high school diploma , hours continuing education , irs compliance , tax preparation software",Derek Morgan
"customer service , retail , cashiering , sales , communication , teamwork , problem solving , retail experience , sales experience , high school diploma , ability stand , ability lift , ability push pull , ability bend , ability grasp , ability reach , ability manipulate objects , ability climb ladder",Kayla Ingram
"customer service , microsoft office , salesforce , complaint handling , order placement , shipment tracking , billing , returns , product education , problemsolving , communication , teamwork , multitasking , prioritization , attention detail , adaptability , positivity , cooperation , initiative , physical strength , remote work",Michael Ramos
"leadership , food safety , internal communication , inventory management , daily maintenance cleanliness , crew management , quality food production , exceptional customer service , safety security , scheduling , training , restaurant experience , retail experience , hospitality experience , flexible schedule , passion fastpaced environment , college tuition assistance , high school degree , english classes second language , medical dental vision coverage , pretax flexible spending accounts , short longterm disability , life accident insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",Christopher Williams
"food safety , internal communication , inventory management , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety , security , scheduling , training , leadership , hospitality , retail , restaurant , flexible schedule , high school degree , college tuition assistance , medical coverage , dental coverage , vision coverage , flexible spending accounts , disability insurance , life insurance , accident insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",Shelley Yates
"customer service , cleaning , communication , punctuality , reliability , teamwork , professionalism , physical strength , attention detail , lifting",Spencer Wood
"food safety , internal communication , inventory management , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety , security , scheduling , training , leadership experience , english second language , k plan , reasonable accommodation",Teresa Guzman
"customer service , cash register operation , merchandise stocking , store cleaning , planogram implementation , store management , interpersonal communication , safety awareness , planogram reading , mathematical calculations , cash handling , bank deposits , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise exposure , outside weather exposure , driving",Scott Martinez
"customer service , restaurant management , leadership , training , communication , teamwork , time management , organizational skills , problemsolving skills , food safety , sanitation , quality control , cash handling , pointofsale systems , scheduling , human resources , conflict resolution , health safety protocols , haccp , food beverage knowledge , marketing , sales , retail operations , franchise operations , business administration , restaurant operations , food preparation , food production , food service , food safety , food handling , safety regulations , hygiene standards , cleaning , food storage , food handling , food preparation , equipment maintenance , hazard management , regulatory compliance",Ryan Smith
"customer service , communication , teamwork , problemsolving , retail experience , sales associate experience , cashiering experience , high school diploma , ability stand walk hours , ability lift carry pounds , ability push pull arms force pounds , ability bend waist twisting , ability grasp reach manipulate objects hands , eyehand coordination",Kyle Murphy
"customer service , cash handling , merchandising , cleaning , communication , safety , planogram implementation , mathematical calculations , cash register operation , deposit control , supervisory experience , physical strength , forklift operation , ladder climbing , time management , ability work fastpaced environment",Brandon Morrison
"tax preparation , customer service , sales , marketing , microsoft office , high school diploma , communication skills , teamwork , ability learn adapt , time management , problemsolving , attention detail , accuracy , professionalism , irs state tax requirements , h r block income tax course , continuing education requirement",Kimberly Brown
"restaurant management , shift management , coaching , team leadership , guest service , time management , attention detail , years restaurant bar experience , minimum age serve alcoholic beverages , flexible schedule , free shift meals , best class training continuous learning , advancement opportunities , paid time , k retirement plan , tuition benefits , medical dental vision , champions hope , cash referral program , journey wellbeing support tool , perkspot discount program , recognition program , slip resistant shoes programs , community charitable involvement , igniting dreams grant program , training contests",Henry Warner
"facetoface communication , tax preparation , client retention , sales marketing , customer service , teamwork , collaboration , irs requirements , high school diploma , h r block income tax course , continuing education requirements , fastpaced work environment , flexible remote opportunities , medical coverage , k retirement savings plan , employee stock purchase plan , tax preparation benefit",Mark Baldwin
"medical equipment , delivery invoices , customer service , equipment maintenance , high school diploma , one year job experience",Steven Holt
"leadership , food safety , internal communication , inventory management , daily maintenance , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , restaurant experience , retail experience , hospitality experience , flexible schedule , aged",Laurie Kelly
"tax interviews , tax returns , business growth , client retention , teamwork , collaboration , tax expertise , communication , h r block income tax course , continuing education , high school diploma , customer service , retail environment , sales , marketing , fastpaced environment , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities , connected culture , diversity , equal opportunity employer",Eric Harvey
"customer service , retail , sales , communication , teamwork , problem solving , high school diploma equivalent , ability stand walk hours , ability lift carry pounds , ability push pull pounds , ability bend waist twisting , ability grasp reach manipulate objects , eyehand coordination",Daniel Jones
"food safety , communication , inventory management , maintenance , crew management , customer service , safety , scheduling , training , leadership development",Timothy Barajas
"customer service , cashier operation , merchandise stocking , cleaning maintenance , planogram implementation , store management , communication skills , safety knowledge , mathematical calculations , cash handling procedures , supervisory experience , physical stamina , lifting climbing ability , fastpaced environment tolerance , driving transportation",Janice Bryan
"customer service , communication skills , cash handling , merchandising , stocking , cleaning , safety procedures , planogram implementation , mathematical skills , cash register operation , supervisory experience , high school diploma",Mary Salazar
"customer service , cash register operation , merchandising , cleaning , planogram implementation , store management , communication skills , safety knowledge , mathematical skills , cash handling , driving , high school diploma , supervisory experience , physical strength , fastpaced environment , occasional driving",Joshua Valdez
"restaurant management , shift management , coaching , guest service , time management , attention detail , communication skills , problem solving , decision making , leadership , teamwork , training , scheduling , food safety , sanitation , customer service , pos systems , inventory management , cash handling , budgeting , health inspections , fire safety , regulatory compliance , brand standards , alcohol beverage service",Brian Sherman
"customer service , cash register operation , stocking rotating merchandise , store cleaning , planogram implementation maintenance , store opening closing , supervisory experience , high school diploma equivalent , interpersonal communication , oral communication , safety policies practices , planogram reading following , mathematical calculations , cash handling procedures , cashier accountability , deposit control , driving vehicle bank deposits , walking standing , bending stooping kneeling , handling merchandise equipment , lifting pounds , occasional climbing six feet , fastpaced environment , noise level , exposure outside weather conditions , driving providing transportation",Rose Simpson
"tax preparation , customer service , sales marketing , teamwork , irs state requirements , h r block income tax course , continuing education , high school diploma",Leah Curtis
